Dimension_Name,Dimension_Category,Tab,Measure,Year,Value
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,613955
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,629167
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,635845
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,640369
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,642982
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,646091
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,651501
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,627847
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,637788
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,647726
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,643907
National (tous secteurs confondus),Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,578462
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,7250
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,7436
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,7240
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,6812
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,7011
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,7746
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,8452
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,8755
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,8262
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,7989
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,7924
Terre-Neuve-et-Labrador,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,6438
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,823
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,898
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,973
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,922
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,744
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,786
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,793
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,830
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,819
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,844
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,866
Île-du-Prince-Édouard,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,914
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,18935
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,17714
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,17404
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,15325
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,14333
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,13355
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,12793
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,11931
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,12315
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,12664
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,12160
Nouvelle-Écosse,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,10391
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,17910
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,16702
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,16836
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,15120
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,13879
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,12572
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,13485
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,14856
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,14368
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,14416
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,13689
Nouveau-Brunswick,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,13242
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,67506
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,64607
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,64421
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,63218
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,62089
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,61009
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,63851
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,62659
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,64400
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,65183
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,66242
Québec,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,58408
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,120839
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,129961
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,127304
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,125090
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,120949
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,118667
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,118320
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,117005
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,113712
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,117359
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,117923
Ontario,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2020,105599
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2009,15773
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2010,15157
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2011,15415
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2012,16316
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2013,16600
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2014,16752
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2015,16731
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2016,16989
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2017,17463
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2018,17822
Manitoba,Géographie,Émissions de GES,"Émissions de gaz à effet de serre (GES) (kilotonnes d’équivalents de dioxyde de carbone [CO2]), par région",2019,17587
